,content,label,pred
23,"+package org.apache.commons.digester3.binder;
+
+/*
+ * Licensed to the Apache Software Foundation (ASF) under one
+ * or more contributor license agreements.  See the NOTICE file
+ * distributed with this work for additional information
+ * regarding copyright ownership.  The ASF licenses this file
+ * to you under the Apache License, Version 2.0 (the
+ * ""License""); you may not use this file except in compliance
+ * with the License.  You may obtain a copy of the License at
+ *
+ *   http://www.apache.org/licenses/LICENSE-2.0
+ *
+ * Unless required by applicable law or agreed to in writing,
+ * software distributed under the License is distributed on an
+ * ""AS IS"" BASIS, WITHOUT WARRANTIES OR CONDITIONS OF ANY
+ * KIND, either express or implied.  See the License for the
+ * specific language governing permissions and limitations
+ * under the License.
+ */
+
+import static org.apache.commons.digester3.binder.BinderClassLoader.createBinderClassLoader;
+import static org.junit.Assert.assertSame;
+
+import org.junit.Test;
+
+/**
+ * DIGESTER-155
+ */
+public final class BinderClassLoaderTestCase
+{
+
+    private ClassLoader classLoader = createBinderClassLoader( getClass().getClassLoader() );
+
+    @Test
+    public void loadBoolean()
+        throws Exception
+    {
+        typeFound( ""boolean"", boolean.class );
+    }
+
+    @Test
+    public void loadByte()
+        throws Exception
+    {
+        typeFound( ""byte"", byte.class );
+    }
+
+    @Test
+    public void loadShort()
+        throws Exception
+    {
+        typeFound( ""short"", short.class );
+    }
+
+    @Test
+    public void loadInt()
+        throws Exception
+    {
+        typeFound( ""int"", int.class );
+    }
+
+    @Test
+    public void loadChar()
+        throws Exception
+    {
+        typeFound( ""char"", char.class );
+    }
+
+    @Test
+    public void loadLong()
+        throws Exception
+    {
+        typeFound( ""long"", long.class );
+    }
+
+    @Test
+    public void loadFloat()
+        throws Exception
+    {
+        typeFound( ""float"", float.class );
+    }
+
+    @Test
+    public void loadDouble()
+        throws Exception
+    {
+        typeFound( ""double"", double.class );
+    }
+
+    private void typeFound( String name, Class<?> expected )
+        throws Exception
+    {
+        Class<?> actual = classLoader.loadClass( name );
+        assertSame( expected, actual );
+    }
+
+}
",0,1
24,"-            inputSource.clear();
+            systemIds.clear();
",1,0
25,"+    <action dev=""simonetripodi"" type=""fix"" issue=""DIGESTER-163"" due-to=""Torsten Krah"">
+      ConcurrentModificationException creating a new Digester via loaderInstance.newDigester()
+    </action>
",0,0
26,"+package org.apache.commons.digester3.binder;
+
+import java.util.Collections;
+import java.util.HashMap;
+import java.util.Map;
+
+/*
+ * Licensed to the Apache Software Foundation (ASF) under one
+ * or more contributor license agreements.  See the NOTICE file
+ * distributed with this work for additional information
+ * regarding copyright ownership.  The ASF licenses this file
+ * to you under the Apache License, Version 2.0 (the
+ * ""License""); you may not use this file except in compliance
+ * with the License.  You may obtain a copy of the License at
+ *
+ *   http://www.apache.org/licenses/LICENSE-2.0
+ *
+ * Unless required by applicable law or agreed to in writing,
+ * software distributed under the License is distributed on an
+ * ""AS IS"" BASIS, WITHOUT WARRANTIES OR CONDITIONS OF ANY
+ * KIND, either express or implied.  See the License for the
+ * specific language governing permissions and limitations
+ * under the License.
+ */
+
+final class BinderClassLoader
+    extends ClassLoader
+{
+
+    private static final Map<String, Class<?>> PRIMITIVE_TYPES;
+    static
+    {
+        HashMap<String, Class<?>> primitiveTypes = new HashMap<String, Class<?>>();
+        primitiveTypes.put( ""boolean"", boolean.class );
+        primitiveTypes.put( ""byte"", byte.class );
+        primitiveTypes.put( ""short"", short.class );
+        primitiveTypes.put( ""int"", int.class );
+        primitiveTypes.put( ""char"", char.class );
+        primitiveTypes.put( ""long"", long.class );
+        primitiveTypes.put( ""float"", float.class );
+        primitiveTypes.put( ""double"", double.class );
+        PRIMITIVE_TYPES = Collections.unmodifiableMap( primitiveTypes );
+    }
+
+    private final ClassLoader adaptedClassLoader;
+
+    public BinderClassLoader( ClassLoader adaptedClassLoader )
+    {
+        this.adaptedClassLoader = adaptedClassLoader;
+    }
+
+    public ClassLoader getAdaptedClassLoader()
+    {
+        return adaptedClassLoader;
+    }
+
+    /**
+     * {@inheritDoc}
+     */
+    @Override
+    protected synchronized Class<?> loadClass( String name, boolean resolve )
+        throws ClassNotFoundException
+    {
+        if ( PRIMITIVE_TYPES.containsKey( name ) )
+        {
+            return PRIMITIVE_TYPES.get( name );
+        }
+        return adaptedClassLoader.loadClass( name );
+    }
+
+}
",1,0
27,"+package org.apache.commons.digester3.binder;
+
+/*
+ * Licensed to the Apache Software Foundation (ASF) under one
+ * or more contributor license agreements.  See the NOTICE file
+ * distributed with this work for additional information
+ * regarding copyright ownership.  The ASF licenses this file
+ * to you under the Apache License, Version 2.0 (the
+ * ""License""); you may not use this file except in compliance
+ * with the License.  You may obtain a copy of the License at
+ *
+ *   http://www.apache.org/licenses/LICENSE-2.0
+ *
+ * Unless required by applicable law or agreed to in writing,
+ * software distributed under the License is distributed on an
+ * ""AS IS"" BASIS, WITHOUT WARRANTIES OR CONDITIONS OF ANY
+ * KIND, either express or implied.  See the License for the
+ * specific language governing permissions and limitations
+ * under the License.
+ */
+
+import static junit.framework.Assert.assertEquals;
+import static junit.framework.Assert.fail;
+import static org.apache.commons.digester3.binder.DigesterLoader.newLoader;
+
+import java.io.IOException;
+import java.io.InputStream;
+import java.util.concurrent.LinkedBlockingQueue;
+import java.util.concurrent.ThreadPoolExecutor;
+import java.util.concurrent.TimeUnit;
+
+import org.apache.commons.digester3.Digester;
+import org.apache.commons.digester3.xmlrules.FromXmlRulesModule;
+import org.junit.Before;
+import org.junit.Test;
+
+
+/**
+ * Test.
+ */
+public class Digester163TestCase
+{
+
+    public static final int MAX_THREADS = 4;
+
+    private DigesterLoader loader;
+
+    @Before
+    public void setUp()
+    {
+        loader = newLoader( new FromXmlRulesModule()
+        {
+
+            @Override
+            protected void loadRules()
+            {
+                loadXMLRules( getClass().getResourceAsStream( ""rules.xml"" ) );
+            }
+
+        } );
+    }
+
+    @Test
+    public void test()
+        throws InterruptedException
+    {
+        ThreadPoolExecutor executor = new ThreadPoolExecutor( MAX_THREADS, MAX_THREADS,
+                                                              Long.MAX_VALUE,
+                                                              TimeUnit.NANOSECONDS,
+                                                              new LinkedBlockingQueue<Runnable>() );
+        for ( int i = 0; i < MAX_THREADS * 2; i++ )
+        {
+            executor.submit( new Runnable()
+            {
+
+                public void run()
+                {
+                    Digester dig = loader.newDigester();
+                    InputStream in = null;
+                    try
+                    {
+                        in = this.getClass().getClassLoader().getResourceAsStream( ""test.xml"" );
+                        Entity et = dig.parse( in );
+                        assertEquals( ""Author 1"", et.getAuthor() );
+                    }
+                    catch ( Exception e )
+                    {
+                        fail( e.getMessage() );
+                    }
+                    finally
+                    {
+                        if ( in != null )
+                        {
+                            try
+                            {
+                                in.close();
+                            }
+                            catch ( IOException e )
+                            {
+                                // close quietly
+                            }
+                        }
+                    }
+                }
+            } );
+        }
+
+        while ( !executor.awaitTermination( 10, TimeUnit.MILLISECONDS ) )
+        {
+            if ( executor.getQueue().isEmpty() )
+            {
+                executor.shutdown();
+            }
+            if ( executor.isTerminated() )
+            {
+                break;
+            }
+        }
+    }
+
+}
",0,1
28,"- * 
+ *
",0,0
29,"- * 
+ *
",0,0
30,"-            return null;
+            throw new EmptyStackException();
",1,0
31,"-import java.util.Collections;
-import java.util.HashMap;
-import java.util.Map;
",1,0
32,"+  <profiles>
+    <profile>
+      <id>rc</id>
+      <build>
+        
+      </build>
+    </profile>
+  </profiles>
+
",0,0
33,"-                    ArrayList<String> stringList = getDigester().peek();
+                    List<String> stringList = getDigester().peek();
",0,0
34,"+    <action dev=""simonetripodi"" type=""fix"" issue=""DIGESTER-155"">
+      ClassLoader reference set to DigesterLoader not set in produced Digetser instances
+    </action>
",0,0
35,"-     * 
+     *
",0,0
36,"+     * The Java class of the object to be created.
+     */
+    protected Class<?> clazz = null;
+
+    /**
",1,0
37,"+<?xml version=""1.0"" encoding=""UTF-8""?>
+<!--
+   Licensed to the Apache Software Foundation (ASF) under one or more
+   contributor license agreements.  See the NOTICE file distributed with
+   this work for additional information regarding copyright ownership.
+   The ASF licenses this file to You under the Apache License, Version 2.0
+   (the ""License""); you may not use this file except in compliance with
+   the License.  You may obtain a copy of the License at
+
+       http://www.apache.org/licenses/LICENSE-2.0
+
+   Unless required by applicable law or agreed to in writing, software
+   distributed under the License is distributed on an ""AS IS"" BASIS,
+   WITHOUT WARRANTIES OR CONDITIONS OF ANY KIND, either express or implied.
+   See the License for the specific language governing permissions and
+   limitations under the License.
+-->
+<root>
+  <container>
+    <header>
+      <authors>
+        <author>Author 1</author>
+      </authors>
+    </header>
+  </container>
+</root>
",0,0
38,"+        this.clazz = clazz;
",1,0
39,"+        if ( classLoader == null )
+        {
+            throw new IllegalArgumentException( ""Parameter 'classLoader' cannot be null"" );
+        }
+
",1,0
40,"+import org.apache.xml.security.utils.resolver.ResourceResolverContext;
",1,0
41,"+            int offset = Character.toChars(ch, chs, pos);
+            pos += offset;
             if (ch == 0xDBFF) {
-                ch = 1;
+                // since 0xDBFF with next character 0xDC00 will form a surrogate pair, so insert a space character in between
+                offset = Character.toChars(Character.SPACE_SEPARATOR, chs, pos);
+                pos += offset;
             }
-            chs[i] = (char)ch;
-            UtfHelpper.writeCharToUtf8((char)ch, charByCharOs);
         }
-        String str = new String(chs);
+        char newResult[] = new char[pos];
+        System.arraycopy(chs, 0, newResult, 0, pos);
+        for (int i = 0; i < pos; ) {
+            int ch = Character.codePointAt(newResult, i);
+            i += Character.charCount(ch);
+            UtfHelpper.writeCodePointToUtf8(ch, charByCharOs);
+        }
+
+        String str = new String(newResult);
",0,0
42,"+/**
+ * Licensed to the Apache Software Foundation (ASF) under one
+ * or more contributor license agreements. See the NOTICE file
+ * distributed with this work for additional information
+ * regarding copyright ownership. The ASF licenses this file
+ * to you under the Apache License, Version 2.0 (the
+ * ""License""); you may not use this file except in compliance
+ * with the License. You may obtain a copy of the License at
+ *
+ * http://www.apache.org/licenses/LICENSE-2.0
+ *
+ * Unless required by applicable law or agreed to in writing,
+ * software distributed under the License is distributed on an
+ * ""AS IS"" BASIS, WITHOUT WARRANTIES OR CONDITIONS OF ANY
+ * KIND, either express or implied. See the License for the
+ * specific language governing permissions and limitations
+ * under the License.
+ */
+package org.apache.xml.security.test.c14n.implementations;
+
+import java.io.ByteArrayInputStream;
+import java.io.ByteArrayOutputStream;
+
+import javax.xml.parsers.DocumentBuilder;
+import javax.xml.parsers.DocumentBuilderFactory;
+
+import junit.framework.Test;
+import junit.framework.TestCase;
+import junit.framework.TestSuite;
+
+import org.w3c.dom.Document;
+import org.w3c.dom.NodeList;
+
+import org.apache.xml.security.c14n.implementations.Canonicalizer11;
+import org.apache.xml.security.c14n.implementations.Canonicalizer11_OmitComments;
+
+/**
+ * This is a test for Santuario-191:
+ * 
+ * https://issues.apache.org/jira/browse/SANTUARIO-191
+ *
+ * An xml:Id attribute is appearing in a child element, contrary to the C14n11 spec.
+ */
+public class Santuario191Test extends TestCase {
+
+    private static final String INPUT_DATA =
+        ""<?xml version=\""1.0\"" encoding=\""UTF-8\""?>""
+      + ""<test xml:id=\""testid1\"">""
+      + ""<data>""
+      + ""    <user1>Alice</user1>""
+      + ""    <user2>Bob</user2>""
+      + ""</data>""
+      + ""</test>"";
+    private static final String EXPECTED_RESULT =
+        ""<data>""
+      + ""    <user1>Alice</user1>""
+      + ""    <user2>Bob</user2>""
+      + ""</data>"";
+
+    private DocumentBuilder db;
+    
+    static {
+        org.apache.xml.security.Init.init();
+    }
+    
+    public static Test suite() {
+        return new TestSuite(Santuario191Test.class);
+    }
+
+    public void testSantuario191() throws Exception {
+        //
+        // Parse the Data
+        //
+        DocumentBuilderFactory dbf = DocumentBuilderFactory.newInstance();
+        dbf.setNamespaceAware(true);
+        db = dbf.newDocumentBuilder();
+        Document doc = db.parse(new ByteArrayInputStream(INPUT_DATA.getBytes(""UTF8"")));
+        
+        //
+        // Canonicalize the data
+        //
+        NodeList dataNodes = doc.getElementsByTagName(""data"");
+        Canonicalizer11 c14ner = new Canonicalizer11_OmitComments();
+        byte[] result = c14ner.engineCanonicalizeSubTree(dataNodes.item(0));
+        
+        //
+        // Test against expected result
+        //
+        ByteArrayOutputStream out = new ByteArrayOutputStream();
+        out.write(result);
+        assertTrue(EXPECTED_RESULT.equals(out.toString(""UTF8"")));
+    }
+    
+}
",0,1
43,"-package org.jcp.xml.dsig.internal.dom;
+package org.apache.jcp.xml.dsig.internal.dom;
",1,0
44,"+import org.w3c.dom.DOMException;
",1,0
45,"+<etsi:elem2 xmlns:etsi=""http://example.net""><dsig:stuff xmlns:dsig=""foo:bar""></dsig:stuff></etsi:elem2><
\ No newline at end of file
",0,0
46,"-package org.jcp.xml.dsig.internal.dom;
+package org.apache.jcp.xml.dsig.internal.dom;
",1,0
47,"+
+    @Override
+    public void writeAsEncodedUnicode(Writer writer) throws XMLStreamException {
+        try {
+            writer.write(""</"");
+            final String prefix = getName().getPrefix();
+            if (prefix != null && !prefix.isEmpty()) {
+                writer.write(getName().getPrefix());
+                writer.write(':');
+            }
+            writer.write(getName().getLocalPart());
+            writer.write('>');
+        } catch (IOException e) {
+            throw new XMLStreamException(e);
+        }
+    }
",1,0
48,"-            (""DOM"", new org.jcp.xml.dsig.internal.dom.XMLDSigRI());
+            (""DOM"", new org.apache.jcp.xml.dsig.internal.dom.XMLDSigRI());
",0,0
49,"+import org.apache.xml.security.utils.resolver.ResourceResolverContext;
",1,0
50,"+    // @see https://issues.apache.org/jira/browse/SANTUARIO-433
+    @Test
+    public void testNullPrefix() throws Exception {
+        StringWriter securityStringWriter = new StringWriter();
+        OutboundSecurityContextImpl securityContext = new OutboundSecurityContextImpl();
+        OutputProcessorChainImpl outputProcessorChain = new OutputProcessorChainImpl(securityContext);
+        outputProcessorChain.addProcessor(new EventWriterProcessor(securityStringWriter));
+        XMLSecurityStreamWriter xmlSecurityStreamWriter = new XMLSecurityStreamWriter(outputProcessorChain);
+
+        xmlSecurityStreamWriter.writeStartElement(null, ""element"", ""http://element.ns"");
+        xmlSecurityStreamWriter.writeDefaultNamespace(""http://element.ns"");
+        xmlSecurityStreamWriter.writeStartElement(""childElement"");
+    }
+
",0,0
51,"+        size = ((DSAKey)privateKey).getParams().getQ().bitLength();
",1,0
52,"-    public boolean engineCanResolve(Attr uri, String baseURI) {
-        if (uri == null) {
+    public boolean engineCanResolveURI(ResourceResolverContext context) {
+        if (context.uriToResolve == null) {
",0,0
53,"-            if (XMLCipher.RSA_OAEP.equals(algorithm)
-                && (digestAlgorithm == null 
-                    || MessageDigestAlgorithm.ALGO_ID_DIGEST_SHA1.equals(digestAlgorithm))) {
-                try {
-                    if (requestedJCEProvider == null) {
-                        c = Cipher.getInstance(""RSA/ECB/OAEPWithSHA1AndMGF1Padding"");
-                    } else {
-                        c = Cipher.getInstance(""RSA/ECB/OAEPWithSHA1AndMGF1Padding"", requestedJCEProvider);
-                    }
-                } catch (Exception ex) {
-                    throw new XMLEncryptionException(""empty"", ex);
-                }
-            } else {
-                throw new XMLEncryptionException(""empty"", nsae);
-            }
+            c = constructCipher(algorithm, digestAlgorithm, nsae);
",0,0
54,"+import org.apache.xml.security.exceptions.XMLSecurityException;
+import org.apache.xml.security.signature.Manifest;
",0,1
55,"-        if (baseURI != null && baseURI.length() > 0) {
-            result.setSourceURI(baseURI.concat(uri.getNodeValue()));      
+        if (context.baseUri != null && context.baseUri.length() > 0) {
+            result.setSourceURI(context.baseUri.concat(context.uriToResolve));      
         } else {
-            result.setSourceURI(uri.getNodeValue());      
+            result.setSourceURI(context.uriToResolve);      
",0,0
56,"-        SIGN_KEYS[0] = TestUtils.getPrivateKey(""DSA"");
-        SIGN_KEYS[1] = TestUtils.getPrivateKey(""RSA"");
+        SIGN_KEYS[0] = TestUtils.getPrivateKey(""DSA"", 1024);
+        SIGN_KEYS[1] = TestUtils.getPrivateKey(""RSA"", 512);
",0,0
57,"+import org.apache.xml.security.utils.resolver.ResourceResolverContext;
",0,0
58,"-   /** Field _alreadyInitialized */
-   static boolean _alreadyInitialized = false;
-
    /** these are the system-wide resolvers */
-   static List _resolverVector = null;
+   private static List _resolverVector = new ArrayList(10);
    
-   static boolean allThreadSafeInList=true;
+   private static boolean allThreadSafeInList=true;
",1,0
59,"-                    UtfHelpper.writeCharToUtf8(c, writer);
+                    UtfHelpper.writeCodePointToUtf8(c, writer);
",1,0
60,"-                ""org.jcp.xml.dsig.internal.dom.DOMCanonicalXMLC14NMethod"");
+                ""org.apache.jcp.xml.dsig.internal.dom.DOMCanonicalXMLC14NMethod"");
",1,0
61,"-    
+
",0,0
62,"-                    KeyLength=""128""
+                    KeyLength=""0""
",1,0
63,"-        buf = (byte[])bufCache.get();
+        buf = new byte[size];
",1,0
64,"+import javax.xml.stream.XMLStreamException;
+import java.io.IOException;
+import java.io.Writer;
",1,0
65,"-    /**
-     * Constructs a new {@code ByteArrayOutputStream} with a default size of
-     * {@code size} bytes. If more than {@code size} bytes are written to this
-     * instance, the underlying byte array will expand.
-     *
-     * @param size
-     *            initial size for the underlying byte array, must be
-     *            non-negative.
-     * @throws IllegalArgumentException
-     *             if {@code size} < 0.
-     */
-    public UnsyncByteArrayOutputStream(int size) {
-        super();
-        if (size < 0) {
-            throw new IllegalArgumentException(""size must be >= 0"");
+    public void write(byte[] arg0) {
+        if ((VM_ARRAY_INDEX_MAX_VALUE - pos) < arg0.length) {
+            throw new OutOfMemoryError();
         }
-        buf = new byte[size];
-    }
-
-    private void expand(int i) {
-        /* Can the buffer handle @i more bytes, if not expand it */
-        if (count + i <= buf.length) {
-            return;
+        int newPos = pos + arg0.length;
+        if (newPos > size) {
+            expandSize(newPos);
         }
-
-        byte[] newbuf = new byte[(count + i) << 1];
-        System.arraycopy(buf, 0, newbuf, 0, count);
-        buf = newbuf;
-    }
-
-    /**
-     * Resets this stream to the beginning of the underlying byte array. All
-     * subsequent writes will overwrite any bytes previously stored in this
-     * stream.
-     */
-    public void reset() {
-        count = 0;
-    }
-
-    /**
-     * Returns the total number of bytes written to this stream so far.
-     *
-     * @return the number of bytes written to this stream.
-     */
-    public int size() {
-        return count;
+        System.arraycopy(arg0, 0, buf, pos, arg0.length);
+        pos = newPos;
",1,1
66,"-package org.jcp.xml.dsig.internal.dom;
+package org.apache.jcp.xml.dsig.internal.dom;
",1,0
67,"-            new Algorithm("""", ""HmacSHA224"", ""Mac"", 224, 0)
+            new Algorithm("""", ""HmacSHA224"", ""Mac"", 0, 0)
",1,1
68,"-            (new org.jcp.xml.dsig.internal.dom.XMLDSigRI(), 1);
+            (new org.apache.jcp.xml.dsig.internal.dom.XMLDSigRI(), 1);
",0,0
69,"-        Element objElem = DOMUtils.createElement
-            (ownerDoc, ""Object"", XMLSignature.XMLNS, dsPrefix);
-
-	// set attributes
-        DOMUtils.setAttributeID(objElem, ""Id"", id);
-	DOMUtils.setAttribute(objElem, ""MimeType"", mimeType);
-        DOMUtils.setAttribute(objElem, ""Encoding"", encoding);
-
-        // create and append any elements and mixed content, if necessary
-	for (int i = 0, size = content.size(); i < size; i++) {
-            XMLStructure object = (XMLStructure) content.get(i);
-            if (object instanceof DOMStructure) {
-                ((DOMStructure) object).marshal(objElem, dsPrefix, context);
-            } else {
-	        javax.xml.crypto.dom.DOMStructure domObject = 
-		    (javax.xml.crypto.dom.DOMStructure) object;
-		DOMUtils.appendChild(objElem, domObject.getNode());
+        Element objElem = objectElem != null ? objectElem : null;
+        if (objElem == null) {
+            objElem = DOMUtils.createElement(ownerDoc, ""Object"",
+                                             XMLSignature.XMLNS, dsPrefix);
+            // set attributes
+            DOMUtils.setAttributeID(objElem, ""Id"", id);
+            DOMUtils.setAttribute(objElem, ""MimeType"", mimeType);
+            DOMUtils.setAttribute(objElem, ""Encoding"", encoding);
+            // create and append any elements and mixed content, if necessary
+            for (int i = 0, size = content.size(); i < size; i++) {
+                XMLStructure object = (XMLStructure)content.get(i);
+                if (object instanceof DOMStructure) {
+                    ((DOMStructure)object).marshal(objElem, dsPrefix, context);
+                } else {
+                    javax.xml.crypto.dom.DOMStructure domObject = 
+                        (javax.xml.crypto.dom.DOMStructure)object;
+                    DOMUtils.appendChild(objElem, domObject.getNode());
+                }
",1,0
70,"+                    digestElement.setAttributeNS(
+                        Constants.NamespaceSpecNS,
+                        ""xmlns:"" + ElementProxy.getDefaultPrefix(Constants.SignatureSpecNS),
+                        Constants.SignatureSpecNS
+                    );
",1,1
71,"-    public XMLSignatureInput engineResolve(Attr uri, String baseURI) {
-        return this.input;
+    @Override
+    public XMLSignatureInput engineResolveURI(ResourceResolverContext context) {
+	    return new XMLSignatureInput(inStream);
",1,0
72,"-        resolver2.resolve(uri1, ""test2"");		
-        resolver.resolve(uri, ""test"");
-        resolver1.resolve(uri1, ""test1"");
+        resolver2.resolve(uri1, ""test2"", true);		
+        resolver.resolve(uri, ""test"", true);
+        resolver1.resolve(uri1, ""test1"", true);
",0,0
73,"-                        UtfHelpper.writeCharToUtf8(c, writer);
+                        UtfHelpper.writeCodePointToUtf8(c, writer);
",1,0
74,"+    private final SortedSet<Attr> result = new TreeSet<Attr>(COMPARE);
",0,0
75,"- * @author $Author$
",0,0
76,"-        AlgorithmParameterSpec paramSpec = constructBlockCipherParameters(algorithm, ivBytes);
+        
+        String blockCipherAlg = algorithm;
+        if (blockCipherAlg == null) {
+            blockCipherAlg = encMethodAlgorithm;
+        }
+        AlgorithmParameterSpec paramSpec = constructBlockCipherParameters(blockCipherAlg, ivBytes);
",1,1
77,"-        String uriNodeValue = uri.getNodeValue();
-        Document doc = uri.getOwnerElement().getOwnerDocument();
+        Document doc = context.attr.getOwnerElement().getOwnerDocument();
",0,0
78,"-        if (result == false) {    	  
+        if (!result) {    	  
",0,0
79,"-        public XMLSignatureInput engineResolve(
-            Attr uri, String BaseURI
+        @Override
+        public XMLSignatureInput engineResolveURI(
+            ResourceResolverContext context
         ) throws ResourceResolverException {
-            assertEquals(uriCompare, uri);
-            assertEquals(baseCompare,BaseURI);
+            assertEquals(uriCompare, context.uriToResolve);
+            assertEquals(baseCompare, context.baseUri);
",0,0
80,"-            UnicodeEscaper.outsideOf(32, 0x7f) 
+            JavaUnicodeEscaper.outsideOf(32, 0x7f) 
",1,0
81,"-import junit.framework.AssertionFailedError;
-
-import org.apache.commons.lang3.test.SystemDefaultsSwitch;
 import org.apache.commons.lang3.test.SystemDefaults;
+import org.apache.commons.lang3.test.SystemDefaultsSwitch;
",0,1
82,"-    private transient int thisYear;
",1,0
